varName,varValueEnglish,varValueHindi
phoneVerificationSuccess,Your phone number was verified successfully.,आपका फ़ोन नंबर सफलतापूर्वक वेरीफाई हो गया है।
completeEkyc,As a next step please complete your eKYC to get money in your bank account,अगले चरण के रूप में कृपया अपने बैंक खाते में राशि प्राप्त करने के लिए अपना KYC पूरा करें
startEkyc,Start eKYC,KYC शुरू करें
onboarding,Onboarding,ऑनबोर्डिंग
tellUsAboutYou,Tell us about you,हमें अपने बारे में बताएं
incorrectFormat,Incorrect Format,गलत प्रारूप
continue,Continue,जारी रखें
whatsappPlaceholder,Your whatsapp mobile no.,आपका व्हाट्सएप मोबाइल नं.
motherNamePlaceholder,Mother's Name*,माता का नाम*
maritalStatusPlaceholder,Select Maritial Status*,वैवाहिक स्थिति का चयन करें*
educationPlaceholder,Select Education*,शैक्षणिक योग्यता का चयन करें*
holdOnBack,"Hold on!"", ""Are you sure you want to go back?","रुकिए!"", ""क्या आप वाकई वापस जाना चाहते हैं?"
aadhaarNumber,Aadhaar Number,आधार नंबर
agreeKycTNC,I agree with the KYC registration Terms & Conditions to verifiy my identity. You will receive an OTP to your Aadhaar registered mobile number.,मैं अपनी पहचान वेरीफाई करने के लिए KYC पंजीकरण नियम और शर्तों से सहमत हूं। आपको अपने आधार पंजीकृत मोबाइल नंबर पर एक ओटीपी प्राप्त होगा।
invalidAadhaarNumber,Invalid Aadhaar Number,अमान्य आधार नंबर
enterAadhaarNumber,Enter your Aadhaar number,अपना आधार नंबर दर्ज करें
wait10Minutes,You must wait for 10 minutes to resend OTP.,ओटीपी दोबारा भेजने के लिए आपको 10 मिनट तक इंतजार करना होगा।
holdOn,Hold on!,रुकिए!
goBackEditAadhaar,Are you sure you want to go back? Continue if you want to edit your Aadhaar number.,क्या आप वाकई वापस जाना चाहते हैं? अगर आप अपना आधार नंबर बदलना चाहते हैं तो जारी रखें।
verifyAadhaar,Verify Aadhaar,आधार वेरीफाई करें
otpNotReceived,Didn’t receive the secure code?,क्या सुरक्षित कोड प्राप्त नहीं हुआ?
resendOtp,Resend OTP in,फिर से ओटीपी भेजें
goBackAadhaarVerification,If you go back your Aadhaar Verification will have to be redone. Continue only if you want to edit your Aadhaar number.,अगर आप वापस जाते हैं तो आपका आधार वेरिफिकेशन दोबारा कराना होगा। यदि आप अपना आधार नंबर बदलना चाहते हैं तो ही जारी रखें।
areTheseAadhaarDetails,Are these your Aadhaar details?,क्या यह आपके आधार का विवरण हैं?
notMe,Not Me,नहीं
yesMe,"Yes, that’s me",हाँ
enterPanNumber,Enter your PAN number,अपना PAN नंबर दर्ज करें
forgotPan,Forgot PAN?,PAN भूल गए?
agreeKycTNCPan,I agree with the KYC registration Terms & Conditions to verifiy my identity. PAN is required to verify name and date of birth.,मैं अपनी पहचान वेरीफाई करने के लिए KYC पंजीकरण नियम और शर्तों से सहमत हूं। नाम और जन्म तिथि वेरीफाई करने के लिए PAN आवश्यक है।
verifyAadhaarFirst,Please verify your aadhaar first,कृपया पहले अपना आधार का वेरिफिकेशन करें
invalidPanNumber,Invalid PAN Number.,अमान्य PAN नंबर।
goBack,Do you want to go back ?,क्या आप वापस जाना चाहते हैं?
goBackPanVerification,If you go back your PAN Verification will have to be redone. Continue if you want to edit your PAN number.,यदि आप वापस जाते हैं तो आपका PAN वेरिफिकेशन फिर से करना होगा। अगर आप अपना PAN नंबर बदलना चाहते हैं तो जारी रखें।
areThesePanDetails,Are these your PAN details?,क्या यह आपके PAN का विवरण हैं?
